id,host_id,host_name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating
1.28E+18,528617680,Paola,SECOND WARD,42.64531128,-73.757934,Private room in townhouse,Private room,1,1.5,2,1,$52.00,1,365,305,6,4.67
1.28E+18,32379616,Fabiola,THIRD WARD,42.664093,-73.7679519,Private room in rental unit,Private room,1,,1,1,$36.06,28,365,297,1,5
1.28E+18,661066080,Conseta,FOURTH WARD,42.67445143,-73.73835701,Entire home,Entire home/apt,4,,2,2,$289.00,1,7,177,5,3.8
1.29E+18,484673863,Michaela,NINTH WARD,42.65665628,-73.78182705,Entire rental unit,Entire home/apt,2,1,1,1,$206.00,1,365,348,39,4.74
1.29E+18,349460842,Scott,TENTH WARD,42.66229706,-73.78175574,Private room in home,Private room,1,1,,1,$46.39,30,365,132,0,
1.29E+18,353498132,Michael,EIGHTH WARD,42.64592834,-73.79876141,Entire rental unit,Entire home/apt,4,1,2,2,$155.00,13,1125,166,0,
1.30E+18,349460842,Scott,THIRTEENTH WARD,42.6634563,-73.78182815,Private room in home,Private room,1,1,,1,$71.16,30,365,227,1,5
1.30E+18,663670719,Elhadj,THIRTEENTH WARD,42.66434544,-73.77874573,Private room in rental unit,Private room,2,1,,1,$63.00,1,365,226,11,4.82
1.30E+18,663670719,Elhadj,ELEVENTH WARD,42.6629497,-73.77890271,Private room in rental unit,Private room,2,1,,1,$63.00,1,365,306,124,4.9
1.30E+18,44434571,Earl Vanze,SECOND WARD,42.64441207,-73.75226674,Entire rental unit,Entire home/apt,6,1,2,2,$230.00,1,1125,350,58,4.57
1.31E+18,349460842,Scott,TENTH WARD,42.66299895,-73.78255585,Private room in home,Private room,1,1,,1,$71.82,28,365,177,1,5
1.31E+18,349460842,Scott,TENTH WARD,42.66239947,-73.7827126,Private room in home,Private room,1,1,,1,$71.16,30,365,339,0,
1.31E+18,663670719,Elhadj,ELEVENTH WARD,42.66375891,-73.77674407,Private room in rental unit,Private room,2,1,,1,$66.00,1,365,282,71,4.92
1.32E+18,559146397,Cathleen,SIXTH WARD,42.65331,-73.76971,Entire rental unit,Entire home/apt,2,1,1,1,$95.45,31,180,318,0,
1.32E+18,252422913,Dennis,FIFTEENTH WARD,42.67077854,-73.82525055,Entire rental unit,Entire home/apt,6,1,3,3,$244.50,2,1125,171,8,5
1.33E+18,666182267,Tyler,SIXTH WARD,42.65015,-73.76337,Entire home,Entire home/apt,8,2,3,3,$195.50,2,365,254,54,4.67
1.33E+18,392074908,Jerry,SIXTH WARD,42.65262,-73.76134,Entire rental unit,Entire home/apt,2,1,1,1,$160.50,2,365,321,6,4.67
1.33E+18,559146397,Cathleen,SIXTH WARD,42.65344807,-73.76942854,Entire rental unit,Entire home/apt,2,1,1,1,$96.81,31,1125,333,0,
1.33E+18,44434571,Earl Vanze,SECOND WARD,42.644075,-73.7545279,Entire rental unit,Entire home/apt,10,1,3,3,$229.00,1,1125,302,51,4.59
1.35E+18,299638115,Flerida,SIXTH WARD,42.6556643,-73.7618859,Entire rental unit,Entire home/apt,2,1,1,1,$158.33,1,1125,361,17,4.41
1.35E+18,10279606,Nori,FIFTEENTH WARD,42.67003714,-73.82302715,Entire home,Entire home/apt,6,1.5,3,3,$370.88,1,365,337,82,4.9
1.36E+18,32379616,Fabiola,THIRD WARD,42.66526305,-73.7671607,Entire rental unit,Entire home/apt,4,1,2,2,$93.96,28,365,346,0,
1.36E+18,650062372,The Essencesless Cozy Stay,THIRTEENTH WARD,42.66891,-73.79096,Entire home,Entire home/apt,5,1,3,3,$349.00,1,200,319,8,4.13
1.37E+18,680411288,Stephanie,EIGHTH WARD,42.64533015,-73.78913105,Entire home,Entire home/apt,8,2.5,4,4,$354.00,2,1125,214,51,4.86
1.37E+18,584109093,Cecilia,FOURTH WARD,42.66159372,-73.75439957,Entire rental unit,Entire home/apt,4,1,2,4,$149.00,1,1125,318,57,4.65
1.37E+18,521669673,Kody,FIFTH WARD,42.66023621,-73.75777995,Entire rental unit,Entire home/apt,4,1,2,1,$84.00,14,365,274,0,
1.37E+18,121680792,Evolve,FIRST WARD,42.63962652,-73.77330801,Entire home,Entire home/apt,6,1,3,3,$273.00,2,1125,361,1,3
1.37E+18,20536619,Emily,TENTH WARD,42.66315402,-73.78910124,Entire rental unit,Entire home/apt,8,1,4,4,$164.87,28,89,169,1,5
1.37E+18,265861488,Vander,SIXTH WARD,42.65040603,-73.76433185,Entire rental unit,Entire home/apt,4,1,1,2,$132.00,1,28,305,97,4.84
1.37E+18,193923901,Liza,FOURTEENTH WARD,42.67057,-73.80939,Entire home,Entire home/apt,8,2,3,6,$354.00,1,1125,287,38,5
1.38E+18,385963105,Samantha,FOURTEENTH WARD,42.66598411,-73.81880097,Entire home,Entire home/apt,5,2.5,3,3,$219.57,7,30,68,3,5
1.38E+18,233515764,Etem,SEVENTH WARD,42.64764409,-73.77159254,Entire rental unit,Entire home/apt,2,1,1,1,$148.00,1,365,209,13,4.85
1.38E+18,20536619,Emily,TENTH WARD,42.66148231,-73.78761856,Private room in rental unit,Private room,1,,,,,56,89,0,3,5
1.38E+18,20536619,Emily,TENTH WARD,42.66310642,-73.7871616,Private room in rental unit,Private room,2,,,,,56,100,0,2,5
1.38E+18,20536619,Emily,TENTH WARD,42.661831,-73.78755057,Private room in rental unit,Private room,2,,,,,56,100,0,2,5
1.38E+18,233515764,Etem,SEVENTH WARD,42.64628669,-73.77153089,Entire rental unit,Entire home/apt,2,1,1,1,$148.00,1,365,301,47,4.74
1.38E+18,466790114,⁨Premier Stay Co.⁩,ELEVENTH WARD,42.68231685,-73.78367156,Entire rental unit,Entire home/apt,3,1,1,2,$87.00,1,21,363,17,4.06
1.38E+18,654226760,Chris,FOURTEENTH WARD,42.66191,-73.7974412,Entire rental unit,Entire home/apt,5,1,3,3,$297.00,1,1125,356,62,4.98
